D.C. United; 2007; 30; 56; 52; 361; 190; 6; 7; 509; 366; 65; 2; 8; 124; 75.6; 1.13; 15; 314,506; 20,967; 15; 240,674; 16,044
Houston Dynamo; 2007; 30; 43; 42; 335; 145; 2; 3; 410; 455; 49; 4; 13; 93; 78.8; 0.77; 15; 238,240; 15,882; 15; 234,730; 15,648
Chicago Fire; 2008; 30; 44; 43; 335; 162; 3; 3; 333; 390; 55; 2; 10; 122; 78.2; 1.1; 15; 255,511; 17,034; 15; 264,652; 17,643
New England Revolution; 2008; 30; 40; 29; 323; 157; 1; 2; 358; 417; 44; 5; 6; 112; 70; 1.43; 15; 263,706; 17,580; 15; 211,938; 14,129
Toronto FC; 2008; 30; 34; 25; 294; 138; 0; 3; 343; 329; 50; 5; 8; 139; 72.8; 1.43; 15; 301,793; 20,119; 15; 211,654; 14,110
FC Dallas; 2008; 30; 45; 40; 379; 175; 4; 4; 371; 380; 55; 7; 7; 104; 70.7; 1.37; 15; 195,356; 13,023; 15; 281,712; 18,780
San Jose Earthquakes; 2008; 30; 32; 33; 317; 132; 1; 1; 382; 353; 58; 4; 9; 124; 74.7; 1.27; 15; 205,695; 13,713; 15; 210,563; 14,037
New York Red Bulls; 2008; 30; 42; 38; 356; 158; 2; 3; 413; 341; 56; 5; 7; 103; 65.6; 1.6; 15; 238,925; 15,928; 15; 234,331; 15,622
Columbus Crew; 2008; 30; 50; 45; 388; 161; 4; 5; 326; 401; 52; 4; 10; 99; 72.3; 1.2; 15; 219,332; 14,622; 15; 227,115; 15,141
Kansas City Wizards; 2008; 30; 37; 38; 355; 137; 4; 4; 321; 379; 49; 2; 10; 117; 72.2; 1.3; 15; 160,286; 10,685; 15; 237,319; 15,821
Colorado Rapids; 2008; 30; 44; 38; 397; 162; 5; 7; 346; 376; 47; 5; 8; 91; 65; 1.5; 15; 204,884; 13,658; 15; 220,131; 14,675
Chivas USA; 2008; 30; 40; 40; 325; 146; 1; 1; 495; 378; 65; 6; 8; 87; 64; 1.37; 15; 226,717; 15,114; 15; 255,975; 17,065
Los Angeles Galaxy; 2008; 30; 55; 55; 353; 161; 4; 4; 381; 350; 52; 3; 2; 120; 64.2; 2.07; 15; 390,132; 26,008; 15; 421,978; 28,131
Real Salt Lake; 2008; 30; 40; 35; 429; 178; 1; 2; 388; 355; 52; 3; 8; 96; 68.6; 1.3; 15; 242,690; 16,179; 15; 231,367; 15,424
D.C. United; 2008; 30; 43; 47; 352; 152; 4; 5; 379; 377; 66; 6; 5; 101; 65.2; 1.7; 15; 297,531; 19,835; 15; 233,133; 15,542
Houston Dynamo; 2008; 30; 45; 44; 367; 156; 2; 4; 375; 385; 53; 3; 10; 100; 70.9; 1.07; 15; 254,083; 16,938; 15; 214,773; 14,318
Chicago Fire; 2009; 30; 39; 36; 356; 150; 4; 5; 251; 372; 46; 4; 10; 103; 75.7; 1.13; 15; 220,331; 14,688; 15; 265,998; 17,733
New England Revolution; 2009; 30; 33; 31; 290; 133; 5; 5; 326; 387; 50; 4; 8; 150; 79.4; 1.23; 15; 205,977; 13,731; 15; 268,661; 17,910
Toronto FC; 2009; 30; 37; 37; 337; 142; 0; 2; 328; 277; 57; 3; 6; 112; 68.7; 1.53; 15; 305,167; 20,344; 15; 232,709; 15,513
FC Dallas; 2009; 30; 50; 49; 376; 164; 3; 5; 299; 362; 52; 5; 5; 105; 67.7; 1.57; 15; 186,612; 12,440; 15; 227,434; 15,162
San Jose Earthquakes; 2009; 30; 36; 36; 311; 141; 5; 5; 341; 337; 61; 1; 3; 108; 65.9; 1.67; 15; 211,717; 14,114; 15; 219,520; 14,634
New York Red Bulls; 2009; 30; 27; 20; 338; 134; 3; 4; 358; 328; 45; 8; 3; 129; 70.1; 1.57; 15; 187,359; 12,490; 15; 245,981; 16,398
Seattle Sounders FC; 2009; 30; 38; 46; 322; 126; 0; 2; 353; 402; 59; 8; 10; 81; 71.1; 0.97; 15; 464,144; 30,942; 15; 220,011; 14,667
Columbus Crew; 2009; 30; 41; 33; 333; 138; 4; 5; 354; 375; 57; 7; 8; 93; 73.2; 1.03; 15; 216,699; 14,446; 15; 271,900; 18,126
Kansas City Wizards; 2009; 30; 33; 29; 373; 155; 2; 2; 338; 339; 57; 6; 7; 105; 68.6; 1.4; 15; 150,802; 10,053; 15; 225,805; 15,053
Colorado Rapids; 2009; 30; 42; 39; 360; 138; 5; 8; 330; 319; 55; 2; 8; 62; 59.6; 1.27; 15; 184,963; 12,330; 15; 236,851; 15,790
Chivas USA; 2009; 30; 34; 29; 309; 135; 3; 4; 412; 316; 63; 7; 13; 94; 72.3; 1.03; 15; 226,375; 15,091; 15; 248,480; 16,565
